ID;FullName;global_id;ShortName;RegisterNumber;LegalAddress;country;city;street;house;ChiefPosition;ChiefName;WebSite;Email;INN;OGRN
77;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА «СЕВЕРНЫЙ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809297;ГБУ «Спортивная школа олимпийского резерва «Северный» Москомспорта;219132;9-я Северная линия, дом 1Б;Россия;Москва;9-я Северная линия;дом 1Б;директор;Старостин Анатолий Васильевич;sport-severny.ru;severny99@mail.ru;7715135778;1,03774E+12
78;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА «ТРУДОВЫЕ РЕЗЕРВЫ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809298;ГБУ «Спортивная школа олимпийского резерва «Трудовые резервы» Москомспорта;219115;Нижняя Первомайская улица, дом 52;Россия;Москва;Нижняя Первомайская улица;дом 52;директор;Лексин Сергей Федорович;www.trudrez.ru;sfk.tr@mossport.ru;7719029594;1,03774E+12
79;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 1» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809299;ГБУ «Спортивная школа олимпийского резерва № 1» Москомспорта;207023;Левобережная улица, дом 12, корпус 1;Россия;Москва;Левобережная улица;дом 12, корпус 1;директор;Михайлов Андрей Борисович;umkabm.ru;s1@mos.ru;7712102510;1,0377E+12
80;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 111» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809300;ГБУ «Спортивная школа олимпийского резерва № 111» Москомспорта;219134;город Зеленоград, корпус 348Б;Россия;Москва;город Зеленоград;корпус 348Б;директор;Копп Георгий Викторович;sport111.ru;s111@mossport.ru;7735055979;1,03774E+12
81;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 21» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809301;ГБУ «Спортивная школа олимпийского резерва № 21» Москомспорта;205355;Большой Харитоньевский переулок, дом 22/1;Россия;Москва;Большой Харитоньевский переулок;дом 22/1;директор;Базаев Владимир Александрович;;s21@mossport.ru;7701109680;1,03774E+12
82;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА №23» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809302;ГБУ «Спортивная школа олимпийского резерва № 23» Москомспорта;219120;улица Александра Невского, дом 4;Россия;Москва;улица Александра Невского;дом 4;директор;Панкратова Ольга Александровна;swim23.ru;s23@mossport.ru;7710145980;1,03774E+12
83;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 24» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809303;ГБУ «Спортивная школа олимпийского резерва № 24» Москомспорта;219135;Рабочая улица, дом 53;Россия;Москва;Рабочая улица;дом 53;директор;Гуляева Елена Викторовна;sportschool-24.ru;s24@mossport.ru;7709045580;1,03774E+12
84;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 25» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809304;ГБУ «Спортивная школа олимпийского резерва № 25» Москомспорта;205357;Вятская улица, дом 28;Россия;Москва;Вятская улица;дом 28;директор;Гинкевич Инна Владимировна;sportschool-25.ru;s25@mossport.ru;7714045360;1,03774E+12
85;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 27 «СОКОЛ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809305;ГБУ «Спортивная школа олимпийского резерва № 27 «Сокол» Москомспорта;205217;Верхняя Красносельская улица, дом 7А, корпус 1;Россия;Москва;Верхняя Красносельская улица;дом 7А, корпус 1;директор;Вахитов Борис Хабипович;www.sokol27.ru;s27@mossport.ru;7708051887;1,03774E+12
86;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 28» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809306;ГБУ «Спортивная школа олимпийского резерва № 28» Москомспорта;205359;улица Трёхгорный Вал, дом 2/4;Россия;Москва;улица Трёхгорный Вал;дом 2/4;директор;Сбитнева Ольга Анатольевна;sdushor28.ucoz.ru;s28@mossport.ru;7703114340;1,0377E+12
87;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 41 «МОСКВОРЕЧЬЕ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809307;ГБУ «Спортивная школа олимпийского резерва № 41 «Москворечье» Москомспорта;208729;улица Лестева, дом 3;Россия;Москва;улица Лестева;дом 3;директор;Тимофеев Владимир Григорьевич;www.sdushor41.ru;s41@mossport.ru;7725032108;1,0377E+12
88;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 42» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809308;ГБУ «Спортивная школа олимпийского резерва № 42» Москомспорта;206288;Россошанский проезд, дом 4, корпус 4;Россия;Москва;Россошанский проезд;дом 4, корпус 4;директор;Садретдинов Рушан Нюруллович;sdushor42.ru;s42@mossport.ru;7726065787;1,03774E+12
89;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 43» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809309;ГБУ «Спортивная школа олимпийского резерва № 43» Москомспорта;213934;улица Подольских Курсантов, дом 4А;Россия;Москва;улица Подольских Курсантов;дом 4А;директор;Мелихов Иван Вадимович;biathlon43.ru;s43@mossport.ru;7726080707;1,0277E+12
90;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 44» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809310;ГБУ «Спортивная школа олимпийского резерва № 44» Москомспорта;205364;Лисичанская улица, дом 3;Россия;Москва;Лисичанская улица;дом 3;директор;Купцова Марина Геннадьевна;sdushor44.ru;sdushor44@yandex.ru;7737046095;1,03774E+12
91;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 45 «ПРОЛЕТАРСКИЙ САМБИСТ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809202;ГБУ «Спортивная школа олимпийского резерва № 45 «Пролетарский самбист» Москомспорта;205368;улица Садовники, дом 13, корпус 3;Россия;Москва;улица Садовники;дом 13, корпус 3;директор;Дмитриев Роман Михайлович;s45.mossport.ru;sdushor-45@mail.ru;7725009860;1,03774E+12
92;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 46» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809203;ГБУ «Спортивная школа олимпийского резерва № 46» Москомспорта;205369;3-я Радиальная улица, дом 8;Россия;Москва;3-я Радиальная улица;дом 8;директор;Лузганов Николай Федорович;www.sdushor46.ru;s46@mos.ru;7737065997;1,0377E+12
93;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 47» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809204;ГБУ «Спортивная школа олимпийского резерва № 47» Москомспорта;205219;Лебедянская улица, дом 14, корпус 4;Россия;Москва;Лебедянская улица;дом 14, корпус 4;директор;Смирнов Владимир Викторович;www.sportschool47.ru;s47@mossport.ru;7724053120;1,03774E+12
94;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 49 «ТРИНТА» ИМЕНИ Ю.Я. РАВИНСКОГО» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809205;ГБУ «Спортивная школа олимпийского резерва № 49 «Тринта» Москомспорта;219138;Загородное шоссе, дом 2А;Россия;Москва;Загородное шоссе;дом 2А;директор;Сизов Сергей Александрович;trinta.ru;Info@trinta.ru;7726020730;1,02774E+12
95;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 53» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809206;ГБУ «Спортивная школа олимпийского резерва № 53» Москомспорта;219111;улица Молдагуловой, дом 20А;Россия;Москва;улица Молдагуловой;дом 20А;директор;Борисов Эдуард Леонидович;edhandball.ru;sdusshor53@bk.ru;7720056183;1,03774E+12
96;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 54 «ОРИЕНТА» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809207;ГБУ «Спортивная школа олимпийского резерва № 54 «Ориента» Москомспорта;205373;Федеративный проспект, дом 37Б;Россия;Москва;Федеративный проспект;дом 37Б;директор;Шевяков Владимир Михайлович;www.ориента.рф;orienta54@mail.ru;7720095263;1,0377E+12
97;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 56» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809208;ГБУ «Спортивная школа олимпийского резерва № 56» Москомспорта;205220;Новосибирская улица, дом 11А;Россия;Москва;Новосибирская улица;дом 11А;директор;Попова Татьяна Анатольевна;sdushor56-basket.ru;s56@mossport.ru;7718103950;1,02774E+12
98;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 61 «ФОРТУНА» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809209;ГБУ «Спортивная школа олимпийского резерва № 61 «Фортуна» Москомспорта;205374;1-я улица Машиностроения, дом 16;Россия;Москва;1-я улица Машиностроения;дом 16;директор;Щербинин Алексей Александрович;sdusshor61.ucoz.ru;s61@mossport.ru;7723010853;1,03774E+12
99;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 63 «СМЕНА» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809210;ГБУ «Спортивная школа олимпийского резерва № 63 «Смена» Москомспорта;212178;2-й квартал Капотня, дом 2а, строение 1;Россия;Москва;2-й квартал Капотня;дом 2а, строение 1;директор;Евсеев Владимир Петрович;www.fs-smena63.ru;smena-63@mail.ru;7723123712;1,03774E+12
100;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 64» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809211;ГБУ «Спортивная школа олимпийского резерва № 64» Москомспорта;205376;Есенинский бульвар, дом 9, корпус 2;Россия;Москва;Есенинский бульвар;дом 9, корпус 2;директор;ОстроумовВладимир Николаевич;СДЮСШОР64.РФ;sdushor64uvr@mail.ru;7721020415;1,03774E+12
101;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 65 «НИКА» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809212;ГБУ «Спортивная школа олимпийского резерва № 65 «Ника» Москомспорта;219139;улица Академика Скрябина, дом 40, корпус 1;Россия;Москва;улица Академика Скрябина;дом 40, корпус 1;директор;Березин Леонид Юрьевич;sdushor65nika.ru;sdushor65nika@yandex.ru;7721015574;1,02774E+12
102;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 71 «ТИМИРЯЗЕВСКАЯ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809213;ГБУ «Спортивная школа олимпийского резерва № 71 «Тимирязевская» Москомспорта;219140;улица 800-летия Москвы, дом 7Б;Россия;Москва;улица 800-летия Москвы;дом 7Б;директор;Ященко Дмитрий Евгеньевич;www.team-basket.ru;s71@mossport.ru;7707085668;1,03774E+12
103;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 73 «ВИКТОРИЯ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809214;ГБУ «Спортивная школа олимпийского резерва № 73 «Виктория» Москомспорта;219142;улица Алабяна, дом 13, корпус 1;Россия;Москва;улица Алабяна;дом 13, корпус 1;директор;Коротаев Андрей Викторович;s73.mossport.ru;s73@mossport.ru;7743003011;1,0377E+12
104;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 74» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809215;ГБУ «Спортивная школа олимпийского резерва № 74» Москомспорта;205381;Волоколамское шоссе, дом 12;Россия;Москва;Волоколамское шоссе;дом 12;директор;Капранова Ольга Сергеевна;школа-гимнастики.рф;sdushor74@bk.ru;7712030456;1,03774E+12
105;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 81 «БАБУШКИНО» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809216;ГБУ «Спортивная школа олимпийского резерва № 81 «Бабушкино» Москомспорта;205386;Ярославское шоссе, дом 65;Россия;Москва;Ярославское шоссе;дом 65;директор;Котомкина Ольга Алексеевна;www.sdushor81.ru;sdushor81@mail.ru;7716052757;1,03774E+12
106;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 9 «ШАБОЛОВКА» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809217;ГБУ «Спортивная школа олимпийского резерва № 9 «Шаболовка» Москомспорта;219143;Милютинский переулок, дом 18;Россия;Москва;Милютинский переулок;дом 18;директор;Тимофеева Елена Викторовна;www.sportschool-9.ru;mos_school-9@mail.ru;7708108149;1,0377E+12
107;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 92 «СОЛНЦЕВО» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809218;ГБУ «Спортивная школа олимпийского резерва № 92 «Солнцево» Москомспорта;205387;Солнцевский проспект, дом 9;Россия;Москва;Солнцевский проспект;дом 9;директор;Ромахина Татьяна Константиновна;;s92@mossport.ru;7732084121;1,02774E+12
108;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА № 95» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809219;ГБУ «Спортивная школа олимпийского резерва № 95» Москомспорта;205224;Большая Филёвская улица, дом 6;Россия;Москва;Большая Филёвская улица;дом 6;директор;Орешкин Сергей Алексеевич;s95.ucoz.ru;shkola-95@mail.ru;7730009986;1,03774E+12
109;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНАЯ ШКОЛА ПО ТЕННИСУ «ОЛИМПИЕЦ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809220;ГБУ «Спортивная школа по теннису «Олимпиец» Москомспорта;219144;улица Удальцова, дом 54;Россия;Москва;улица Удальцова;дом 54;директор;Лакомкин Сергей Николаевич;www.tennis-olimpiets.ru;olimpiets@mos.ru;7708108460;1,02774E+12
110;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНО-АДАПТИВНАЯ ШКОЛА» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809452;ГБУ «Спортивно-адаптивная школа» Москомспорта;209679;улица Корнейчука, дом 28, корпус 2;Россия;Москва;улица Корнейчука;дом 28, корпус 2;директор;Никонов Сергей Николаевич;dush80-svao.ru;s80@mossport.ru;7715363823;1,03772E+12
111;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «СПОРТИВНЫЙ КОМПЛЕКС «КРЫЛАТСКОЕ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809453;ГБУ «Спортивный комплекс «Крылатское» Москомспорта;219167;Крылатская улица, дом 16;Россия;Москва;Крылатская улица;дом 16;генеральный директор;Москалев Михаил Валериевич;www.skating-palace.ru;sk.krylatskoe@mossport.ru;7731463021;1,14775E+12
112;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ФИЗКУЛЬТУРНО-СПОРТИВНОЕ ОБЪЕДИНЕНИЕ «ХОККЕЙ МОСКВЫ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809454;ГБУ «ФСО «Хоккей Москвы» Москомспорта;219145;Ореховый бульвар, дом 18, корпус 2;Россия;Москва;Ореховый бульвар;дом 18, корпус 2;генеральный директор;Бабинов Сергей Пантилимонович;fso-hockeymoscow.ru;fco.hm@mossport.ru;7734619260;1,09775E+12
113;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ФИЗКУЛЬТУРНО-СПОРТИВНОЕ ОБЪЕДИНЕНИЕ «ЮНОСТЬ МОСКВЫ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809455;ГБУ «ФСО «Юность Москвы» Москомспорта;219146;улица Стромынка, дом 4, строение 1;Россия;Москва;улица Стромынка;дом 4, строение 1;генеральный директор;Прохоров Владимир Анатольевич;www.ynmos.ru;fso.yum@mossport.ru;7709157406;1,03774E+12
114;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ФИЗКУЛЬТУРНО-СПОРТИВНЫЙ ЦЕНТР «ЭКСТРИМ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809456;ГБУ «ФСЦ «Экстрим» Москомспорта;219147;улица Мичуринский Проспект, Олимпийская Деревня, дом 3;Россия;Москва;улица Мичуринский Проспект;Олимпийская Деревня, дом 3;директор;Сорокин Алексей Владимирович;центрэкстрим.рф;utcemvs@mossport.ru;7708048203;1,03774E+12
115;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЦЕНТР СПОРТИВНОЙ ПОДГОТОВКИ «КРЫЛАТСКОЕ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809457;ГБУ «ЦСП «Крылатское»;219153;Западная улица, дом 16Б;Россия;Москва;Западная улица;дом 16Б;директор;Климов Дмитрий Анатольевич;www.cspkrilatskoe.ru;press@cspkrilatskoe.ru;7731260857;1,02773E+12
116;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЦЕНТР СПОРТИВНОЙ ПОДГОТОВКИ ПО ЛЕГКОЙ АТЛЕТИКЕ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809458;ГБУ «ЦСП по легкой атлетике»;219154;Милютинский переулок, дом 18;Россия;Москва;Милютинский переулок;дом 18;заместитель директора по учебно-спортивной работе;Петровская Ирина Александровна;www.mosathletics.ru;la@mossport.ru;7708047802;1,03774E+12
117;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЦЕНТР ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809459;ГБУ «ЦФКиС ВАО г. Москвы»;213863;Перовская улица, дом 28;Россия;Москва;Перовская улица;дом 28;директор;Панкратов Денис Владимирович;;office@vaosport.ru;7720528661;1,05775E+12
118;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЦЕНТР ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ЗАПАДНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809460;ГБУ «ЦФКиС ЗАО г. Москвы»;219155;улица Герасима Курина, дом 44, корпус 1;Россия;Москва;улица Герасима Курина;дом 44, корпус 1;директор;Таравкова Ольга Юрьевна;;cfk-zao@yandex.ru;7731522654;1,05775E+12
119;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЦЕНТР ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ» ДЕПАРТАМЕНТА ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА ГОРОДА МОСКВЫ;63809461;ГБУ «ЦФКиС Зеленоградского АО г. Москвы»;219156;город Зеленоград, корпус 118;Россия;Москва;город Зеленоград;корпус 118;директор;Сысоев Алексей Владимирович;www.zelaosport.ru;zelsport@mail.ru;7735515464;1,05775E+12
